,name,scores,latitude,longitude,url
20,Chateau Du Boisniard,"9,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/chateau-du-boisniard.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=29480405_88557876_2_42_0&highlighted_blocks=29480405_88557876_2_42_0&matching_block_id=29480405_88557876_2_42_0&sr_pri_blocks=29480405_88557876_2_42_0__68850&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
21,Hôtel Restaurant PLATANES,"8,5",48.6463114,7.3951882,https://www.booking.com/hotel/fr/les-platanes-etauliers1.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=1003848103_374016952_2_41_0&highlighted_blocks=1003848103_374016952_2_41_0&matching_block_id=1003848103_374016952_2_41_0&sr_pri_blocks=1003848103_374016952_2_41_0__67140&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
22,Résidence AURMAT - Appart - Hôtel - Boulogne - Paris,"8,2",48.6463114,7.3951882,https://www.booking.com/hotel/fr/residence-aurmat.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=29288532_375624023_4_0_0&highlighted_blocks=29288532_375624023_4_0_0&matching_block_id=29288532_375624023_4_0_0&sr_pri_blocks=29288532_375624023_4_0_0__85140&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
23,Lodge Les Merisiers,"8,2",48.6463114,7.3951882,https://www.booking.com/hotel/fr/lodge-les-merisiers.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=685101003_374743553_4_1_0&highlighted_blocks=685101003_374743553_4_1_0&matching_block_id=685101003_374743553_4_1_0&sr_pri_blocks=685101003_374743553_4_1_0__114075&from=searchresults#hotelTmpl
24,Hotel De La Porte Saint-Malo,"8,9",48.6463114,7.3951882,https://www.booking.com/hotel/fr/hoteldelaporte.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=12565_349098197_2_2_0&highlighted_blocks=12565_349098197_2_2_0&matching_block_id=12565_349098197_2_2_0&sr_pri_blocks=12565_349098197_2_2_0__46800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
25,Hotel Paix Republique,"8,2",48.6463114,7.3951882,https://www.booking.com/hotel/fr/paix-republique.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&nflt=ht_id%3D204&srpvid=11999afc33ee088a&srepoch=1700690555&all_sr_blocks=5739010_88550808_2_2_0&highlighted_blocks=5739010_88550808_2_2_0&matching_block_id=5739010_88550808_2_2_0&sr_pri_blocks=5739010_88550808_2_2_0__71622&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
26,Le Petit Palais D'Aglae,"8,6",48.6463114,7.3951882,https://www.booking.com/hotel/fr/petit-palais-d-aglae.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&nflt=ht_id%3D204&srpvid=11999afc33ee088a&srepoch=1700690555&all_sr_blocks=178760801_91156073_0_42_0&highlighted_blocks=178760801_91156073_0_42_0&matching_block_id=178760801_91156073_0_42_0&sr_pri_blocks=178760801_91156073_0_42_0__81414&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
27,La Maison de Catherine,"8,8",48.6463114,7.3951882,https://www.booking.com/hotel/fr/la-maison-de-catherine-puy-saint-pierre.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&nflt=ht_id%3D204&srpvid=11999afc33ee088a&srepoch=1700690555&all_sr_blocks=951232802_367735300_0_2_0&highlighted_blocks=951232802_367735300_0_2_0&matching_block_id=951232802_367735300_0_2_0&sr_pri_blocks=951232802_367735300_0_2_0__47610&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
28,Citadines Saint-Germain-des-Prés Paris,"8,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/citadines-aparthotel-saint-germain-des-pres.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&nflt=ht_id%3D204&srpvid=11999afc33ee088a&srepoch=1700690555&all_sr_blocks=66848_204494138_2_2_0&highlighted_blocks=66848_204494138_2_2_0&matching_block_id=66848_204494138_2_2_0&sr_pri_blocks=66848_204494138_2_2_0__105100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
29,Edgar Suites - Meudon-la-Forêt,"9,3",48.6463114,7.3951882,https://www.booking.com/hotel/fr/edgar-suites-meudon-la-foret.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&nflt=ht_id%3D204&srpvid=11999afc33ee088a&srepoch=1700690555&all_sr_blocks=871429601_362898322_4_0_0&highlighted_blocks=871429601_362898322_4_0_0&matching_block_id=871429601_362898322_4_0_0&sr_pri_blocks=871429601_362898322_4_0_0__34828&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
